"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"165","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: $1,000 to $2,999",11604
"166","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: $3,000 to $4,999",9801
"167","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: $5,000 to $9,999",14560
"168","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Condominiums and Other Apartments",3661,"Income: $10,000 & Over",12137
"169","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: No Working Person",8467
"170","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: Below $1,000",3136
"171","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: $1,000 to $2,999",11604
"172","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: $3,000 to $4,999",9801
"173","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: $5,000 to $9,999",14560
"174","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Landed Properties",4177,"Income: $10,000 & Over",12137
"175","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: No Working Person",8467
"176","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: Below $1,000",3136
"177","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: $1,000 to $2,999",11604
"178","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: $3,000 to $4,999",9801
"179","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: $5,000 to $9,999",14560
"180","Ang Mo Kio",32485,"1/1/2010","Education: University",27783,"Housing: Others",391,"Income: $10,000 & Over",12137
"181","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: No Working Person",11143
"182","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: Below $1,000",3782
"183","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: $1,000 to $2,999",14333
"184","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: $3,000 to $4,999",13958
"185","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: $5,000 to $9,999",22726
"186","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 1-3 Rooms",28025,"Income: $10,000 & Over",25281
"187","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: No Working Person",11143
"188","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: Below $1,000",3782
"189","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: $1,000 to $2,999",14333
"190","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: $3,000 to $4,999",13958
"191","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: $5,000 to $9,999",22726
"192","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: HDB 4-5 Rooms",35676,"Income: $10,000 & Over",25281
"193","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: No Working Person",11143
"194","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: Below $1,000",3782
"195","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: $1,000 to $2,999",14333
"196","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: $3,000 to $4,999",13958
"197","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: $5,000 to $9,999",22726
"198","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Condominiums and Other Apartments",15148,"Income: $10,000 & Over",25281
"199","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: No Working Person",11143
"200","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: Below $1,000",3782
"201","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: $1,000 to $2,999",14333
"202","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: $3,000 to $4,999",13958
"203","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: $5,000 to $9,999",22726
"204","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Landed Properties",11765,"Income: $10,000 & Over",25281
"205","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: No Working Person",11143
"206","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: Below $1,000",3782
"207","Bedok",54610,"1/1/2010","Education: No Qualification",33901,"Housing: Others",611,"Income: $1,000 to $2,999",14333
