"","Planning_Area","Post Secondary (Polytechnic/Diploma)","Year","Education","Education_count","Housing","Housing_count","Income","Income_count"
"5160","Queenstown",17500,"1/1/2015","Education: No Qualification",11000,"Housing: Others",100,"Income: $10,000 & Over",11200
"5161","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: No Working Person",6600
"5162","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: Below $1,000",800
"5163","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: $1,000 to $2,999",4900
"5164","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: $3,000 to $4,999",4000
"5165","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: $5,000 to $9,999",8100
"5166","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 1-3 Rooms",18000,"Income: $10,000 & Over",11200
"5167","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: No Working Person",6600
"5168","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: Below $1,000",800
"5169","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: $1,000 to $2,999",4900
"5170","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: $3,000 to $4,999",4000
"5171","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: $5,000 to $9,999",8100
"5172","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: HDB 4-5 Rooms",11900,"Income: $10,000 & Over",11200
"5173","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: No Working Person",6600
"5174","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: Below $1,000",800
"5175","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: $1,000 to $2,999",4900
"5176","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: $3,000 to $4,999",4000
"5177","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: $5,000 to $9,999",8100
"5178","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Condominiums and Other Apartments",4500,"Income: $10,000 & Over",11200
"5179","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: No Working Person",6600
"5180","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: Below $1,000",800
"5181","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: $1,000 to $2,999",4900
"5182","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: $3,000 to $4,999",4000
"5183","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: $5,000 to $9,999",8100
"5184","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Landed Properties",1100,"Income: $10,000 & Over",11200
"5185","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: No Working Person",6600
"5186","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: Below $1,000",800
"5187","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: $1,000 to $2,999",4900
"5188","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: $3,000 to $4,999",4000
"5189","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: $5,000 to $9,999",8100
"5190","Queenstown",17500,"1/1/2015","Education: Primary to Secondary",24000,"Housing: Others",100,"Income: $10,000 & Over",11200
"5191","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: No Working Person",6600
"5192","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: Below $1,000",800
"5193","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: $1,000 to $2,999",4900
"5194","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: $3,000 to $4,999",4000
"5195","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: $5,000 to $9,999",8100
"5196","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 1-3 Rooms",18000,"Income: $10,000 & Over",11200
"5197","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: No Working Person",6600
"5198","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: Below $1,000",800
"5199","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: $1,000 to $2,999",4900
"5200","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: $3,000 to $4,999",4000
"5201","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: $5,000 to $9,999",8100
"5202","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: HDB 4-5 Rooms",11900,"Income: $10,000 & Over",11200
"5203","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: No Working Person",6600
"5204","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: Below $1,000",800
"5205","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: $1,000 to $2,999",4900
"5206","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: $3,000 to $4,999",4000
"5207","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: $5,000 to $9,999",8100
"5208","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Condominiums and Other Apartments",4500,"Income: $10,000 & Over",11200
"5209","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: No Working Person",6600
"5210","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: Below $1,000",800
"5211","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: $1,000 to $2,999",4900
"5212","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: $3,000 to $4,999",4000
"5213","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: $5,000 to $9,999",8100
"5214","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Landed Properties",1100,"Income: $10,000 & Over",11200
"5215","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: No Working Person",6600
"5216","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: Below $1,000",800
"5217","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: $1,000 to $2,999",4900
"5218","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: $3,000 to $4,999",4000
"5219","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: $5,000 to $9,999",8100
"5220","Queenstown",17500,"1/1/2015","Education: University",22300,"Housing: Others",100,"Income: $10,000 & Over",11200
"5221","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: No Working Person",700
"5222","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: Below $1,000",100
"5223","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: $1,000 to $2,999",1600
"5224","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: $3,000 to $4,999",2400
"5225","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: $5,000 to $9,999",8200
"5226","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 1-3 Rooms",800,"Income: $10,000 & Over",10200
"5227","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: No Working Person",700
"5228","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: Below $1,000",100
"5229","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: $1,000 to $2,999",1600
"5230","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: $3,000 to $4,999",2400
"5231","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: $5,000 to $9,999",8200
"5232","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: HDB 4-5 Rooms",20200,"Income: $10,000 & Over",10200
"5233","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: No Working Person",700
"5234","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: Below $1,000",100
"5235","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: $1,000 to $2,999",1600
"5236","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: $3,000 to $4,999",2400
"5237","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: $5,000 to $9,999",8200
"5238","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Condominiums and Other Apartments",1000,"Income: $10,000 & Over",10200
"5239","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: No Working Person",700
"5240","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: Below $1,000",100
"5241","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: $1,000 to $2,999",1600
"5242","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: $3,000 to $4,999",2400
"5243","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: $5,000 to $9,999",8200
"5244","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Landed Properties",1100,"Income: $10,000 & Over",10200
"5245","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: No Working Person",700
"5246","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: Below $1,000",100
"5247","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: $1,000 to $2,999",1600
"5248","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: $3,000 to $4,999",2400
"5249","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: $5,000 to $9,999",8200
"5250","Sembawang",17500,"1/1/2015","Education: No Qualification",5000,"Housing: Others",0,"Income: $10,000 & Over",10200
"5251","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: No Working Person",700
"5252","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: Below $1,000",100
"5253","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: $1,000 to $2,999",1600
"5254","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: $3,000 to $4,999",2400
"5255","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: $5,000 to $9,999",8200
"5256","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 1-3 Rooms",800,"Income: $10,000 & Over",10200
"5257","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: No Working Person",700
"5258","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: Below $1,000",100
"5259","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: $1,000 to $2,999",1600
"5260","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: $3,000 to $4,999",2400
"5261","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: $5,000 to $9,999",8200
"5262","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: HDB 4-5 Rooms",20200,"Income: $10,000 & Over",10200
"5263","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: No Working Person",700
"5264","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: Below $1,000",100
"5265","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: $1,000 to $2,999",1600
"5266","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: $3,000 to $4,999",2400
"5267","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: $5,000 to $9,999",8200
"5268","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Condominiums and Other Apartments",1000,"Income: $10,000 & Over",10200
"5269","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: No Working Person",700
"5270","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: Below $1,000",100
"5271","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: $1,000 to $2,999",1600
"5272","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: $3,000 to $4,999",2400
"5273","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: $5,000 to $9,999",8200
"5274","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Landed Properties",1100,"Income: $10,000 & Over",10200
"5275","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: No Working Person",700
"5276","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: Below $1,000",100
"5277","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: $1,000 to $2,999",1600
"5278","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: $3,000 to $4,999",2400
"5279","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: $5,000 to $9,999",8200
"5280","Sembawang",17500,"1/1/2015","Education: Primary to Secondary",19900,"Housing: Others",0,"Income: $10,000 & Over",10200
"5281","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: No Working Person",700
"5282","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: Below $1,000",100
"5283","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: $1,000 to $2,999",1600
"5284","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: $3,000 to $4,999",2400
"5285","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: $5,000 to $9,999",8200
"5286","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 1-3 Rooms",800,"Income: $10,000 & Over",10200
"5287","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: No Working Person",700
"5288","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: Below $1,000",100
"5289","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: $1,000 to $2,999",1600
"5290","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: $3,000 to $4,999",2400
"5291","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: $5,000 to $9,999",8200
"5292","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: HDB 4-5 Rooms",20200,"Income: $10,000 & Over",10200
"5293","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: No Working Person",700
"5294","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: Below $1,000",100
"5295","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: $1,000 to $2,999",1600
"5296","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: $3,000 to $4,999",2400
"5297","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: $5,000 to $9,999",8200
"5298","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Condominiums and Other Apartments",1000,"Income: $10,000 & Over",10200
"5299","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: No Working Person",700
"5300","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: Below $1,000",100
"5301","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: $1,000 to $2,999",1600
"5302","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: $3,000 to $4,999",2400
"5303","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: $5,000 to $9,999",8200
"5304","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Landed Properties",1100,"Income: $10,000 & Over",10200
"5305","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: No Working Person",700
"5306","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: Below $1,000",100
"5307","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: $1,000 to $2,999",1600
"5308","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: $3,000 to $4,999",2400
"5309","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: $5,000 to $9,999",8200
"5310","Sembawang",17500,"1/1/2015","Education: University",15700,"Housing: Others",0,"Income: $10,000 & Over",10200
"5311","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: No Working Person",2200
"5312","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: Below $1,000",600
"5313","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: $1,000 to $2,999",6400
"5314","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: $3,000 to $4,999",7300
"5315","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: $5,000 to $9,999",20700
"5316","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 1-3 Rooms",4000,"Income: $10,000 & Over",27600
"5317","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: No Working Person",2200
"5318","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: Below $1,000",600
"5319","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: $1,000 to $2,999",6400
"5320","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: $3,000 to $4,999",7300
"5321","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: $5,000 to $9,999",20700
"5322","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: HDB 4-5 Rooms",55500,"Income: $10,000 & Over",27600
"5323","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: No Working Person",2200
"5324","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: Below $1,000",600
"5325","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: $1,000 to $2,999",6400
"5326","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: $3,000 to $4,999",7300
"5327","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: $5,000 to $9,999",20700
"5328","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Condominiums and Other Apartments",4500,"Income: $10,000 & Over",27600
"5329","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: No Working Person",2200
"5330","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: Below $1,000",600
"5331","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: $1,000 to $2,999",6400
"5332","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: $3,000 to $4,999",7300
"5333","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: $5,000 to $9,999",20700
"5334","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Landed Properties",500,"Income: $10,000 & Over",27600
"5335","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: No Working Person",2200
"5336","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: Below $1,000",600
"5337","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: $1,000 to $2,999",6400
"5338","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: $3,000 to $4,999",7300
"5339","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: $5,000 to $9,999",20700
"5340","Sengkang",45100,"1/1/2015","Education: No Qualification",17700,"Housing: Others",0,"Income: $10,000 & Over",27600
"5341","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: No Working Person",2200
"5342","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: Below $1,000",600
"5343","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: $1,000 to $2,999",6400
"5344","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: $3,000 to $4,999",7300
"5345","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: $5,000 to $9,999",20700
"5346","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 1-3 Rooms",4000,"Income: $10,000 & Over",27600
"5347","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: No Working Person",2200
"5348","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: Below $1,000",600
"5349","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: $1,000 to $2,999",6400
"5350","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: $3,000 to $4,999",7300
"5351","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: $5,000 to $9,999",20700
"5352","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: HDB 4-5 Rooms",55500,"Income: $10,000 & Over",27600
"5353","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: No Working Person",2200
"5354","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: Below $1,000",600
"5355","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: $1,000 to $2,999",6400
"5356","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: $3,000 to $4,999",7300
"5357","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: $5,000 to $9,999",20700
"5358","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Condominiums and Other Apartments",4500,"Income: $10,000 & Over",27600
"5359","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: No Working Person",2200
"5360","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: Below $1,000",600
"5361","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: $1,000 to $2,999",6400
"5362","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: $3,000 to $4,999",7300
"5363","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: $5,000 to $9,999",20700
"5364","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Landed Properties",500,"Income: $10,000 & Over",27600
"5365","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: No Working Person",2200
"5366","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: Below $1,000",600
"5367","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: $1,000 to $2,999",6400
"5368","Sengkang",45100,"1/1/2015","Education: Primary to Secondary",50400,"Housing: Others",0,"Income: $3,000 to $4,999",7300
